s (1,1) 392
(143,2) (142,2) 30
(143,2) (144,2) 139
(144,2) (143,2) 262
(144,2) (145,2) 167
(145,2) (144,2) 59
(145,2) (146,2) 378
(146,2) (145,2) 19
(146,2) (147,2) 292
(147,2) (146,2) 130
(147,2) (148,2) 231
(148,2) (147,2) 116
(148,2) (149,2) 43
(149,2) (148,2) 49
(149,2) (150,2) 276
(150,2) (149,2) 249
(150,2) (151,2) 294
(151,2) (150,2) 63
(151,2) (152,2) 393
(152,2) (151,2) 217
(152,2) (153,2) 142
(153,2) (152,2) 114
(153,2) (154,2) 269
(154,2) (153,2) 76
(154,2) (155,2) 238
(155,2) (154,2) 395
(155,2) (156,2) 353
(156,2) (155,2) 70
(156,2) (157,2) 355
(157,2) (156,2) 383
(157,2) (158,2) 92
(158,2) (157,2) 209
(158,2) (159,2) 144
(159,2) (158,2) 2
(159,2) (160,2) 81
(160,2) (159,2) 37
(1,3) (2,3) 78
(2,3) (1,3) 162
(2,3) (3,3) 189
(3,3) (2,3) 359
(3,3) (4,3) 33
(4,3) (3,3) 141
(4,3) (5,3) 236
(5,3) (4,3) 220
(5,3) (6,3) 213
(6,3) (5,3) 32
(6,3) (7,3) 219
(7,3) (6,3) 376
(7,3) (8,3) 375
(8,3) (7,3) 318
(8,3) (9,3) 40
(9,3) (8,3) 199
(9,3) (10,3) 368
(10,3) (9,3) 281
(10,3) (11,3) 325
(11,3) (10,3) 326
(11,3) (12,3) 204
(12,3) (11,3) 224
(12,3) (13,3) 252
(13,3) (12,3) 15
(13,3) (14,3) 153
(14,3) (13,3) 148
(14,3) (15,3) 380
(15,3) (14,3) 32
(15,3) (16,3) 11
(16,3) (15,3) 8
(16,3) (17,3) 386
(17,3) (16,3) 359
(17,3) (18,3) 220
(18,3) (17,3) 197
(18,3) (19,3) 131
(19,3) (18,3) 108
(19,3) (20,3) 273
(20,3) (19,3) 152
(20,3) (21,3) 293
(21,3) (20,3) 347
(21,3) (22,3) 183
(22,3) (21,3) 153
(22,3) (23,3) 78
(23,3) (22,3) 348
(23,3) (24,3) 284
(24,3) (23,3) 25
(24,3) (25,3) 212
(25,3) (24,3) 97
(25,3) (26,3) 395
(26,3) (25,3) 374
(26,3) (27,3) 35
(27,3) (26,3) 91
(27,3) (28,3) 159
(28,3) (27,3) 93
(28,3) (29,3) 221
(29,3) (28,3) 73
(29,3) (30,3) 184
(30,3) (29,3) 30
(30,3) (31,3) 315
(31,3) (30,3) 31
(31,3) (32,3) 268
(32,3) (31,3) 197
(32,3) (33,3) 370
(33,3) (32,3) 15
(33,3) (34,3) 388
(34,3) (33,3) 90
(34,3) (35,3) 97
(35,3) (34,3) 86
(35,3) (36,3) 343
(36,3) (35,3) 342
(36,3) (37,3) 6
(37,3) (36,3) 261
(37,3) (38,3) 21
(38,3) (37,3) 144
(38,3) (39,3) 17
(39,3) (38,3) 58
(39,3) (40,3) 185
(40,3) (39,3) 179
(40,3) (41,3) 1
(41,3) (40,3) 123
(41,3) (42,3) 50
(42,3) (41,3) 366
(42,3) (43,3) 314
(43,3) (42,3) 287
(43,3) (44,3) 171
(44,3) (43,3) 313
(44,3) (45,3) 151
(45,3) (44,3) 265
(45,3) (46,3) 389
(46,3) (45,3) 366
(46,3) (47,3) 252
(47,3) (46,3) 257
(47,3) (48,3) 198
(48,3) (47,3) 11
(48,3) (49,3) 261
(49,3) (48,3) 225
(49,3) (50,3) 107
(50,3) (49,3) 179
(50,3) (51,3) 10
(51,3) (50,3) 57
(51,3) (52,3) 57
(52,3) (51,3) 299
(52,3) (53,3) 308
(53,3) (52,3) 159
(53,3) (54,3) 193
(54,3) (53,3) 152
(54,3) (55,3) 41
(55,3) (54,3) 199
(55,3) (56,3) 306
(56,3) (55,3) 259
(56,3) (57,3) 115
(57,3) (56,3) 314
(57,3) (58,3) 89
(58,3) (57,3) 117
(58,3) (59,3) 62
(59,3) (58,3) 230
(59,3) (60,3) 3
(60,3) (59,3) 101
(60,3) (61,3) 288
(61,3) (60,3) 274
(61,3) (62,3) 371
(62,3) (61,3) 139
(62,3) (63,3) 308
(63,3) (62,3) 268
(63,3) (64,3) 142
(64,3) (63,3) 224
(64,3) (65,3) 31
(65,3) (64,3) 369
(65,3) (66,3) 356
(66,3) (65,3) 52
(66,3) (67,3) 275
(67,3) (66,3) 249
(67,3) (68,3) 281
(68,3) (67,3) 380
(68,3) (69,3) 33
(69,3) (68,3) 396
(69,3) (70,3) 81
(70,3) (69,3) 6
(70,3) (71,3) 297
(71,3) (70,3) 37
(71,3) (72,3) 187
(72,3) (71,3) 154
(72,3) (73,3) 398
(73,3) (72,3) 337
(73,3) (74,3) 292
(74,3) (73,3) 15
(74,3) (75,3) 309
(75,3) (74,3) 228
(75,3) (76,3) 364
(76,3) (75,3) 262
(76,3) (77,3) 363
(77,3) (76,3) 25
(77,3) (78,3) 6
(78,3) (77,3) 295
(78,3) (79,3) 390
(79,3) (78,3) 83
(79,3) (80,3) 312
(80,3) (79,3) 263
(80,3) (81,3) 212
(81,3) (80,3) 356
(81,3) (82,3) 35
(82,3) (81,3) 131
(82,3) (83,3) 208
(83,3) (82,3) 345
(83,3) (84,3) 28
(84,3) (83,3) 219
(84,3) (85,3) 307
(85,3) (84,3) 81
(85,3) (86,3) 153
(86,3) (85,3) 141
(86,3) (87,3) 150
(87,3) (86,3) 249
(87,3) (88,3) 167
(88,3) (87,3) 269
(88,3) (89,3) 54
(89,3) (88,3) 5
(89,3) (90,3) 88
(90,3) (89,3) 255
(90,3) (91,3) 176
(91,3) (90,3) 140
(91,3) (92,3) 202
(92,3) (91,3) 33
(92,3) (93,3) 220
(93,3) (92,3) 272
(93,3) (94,3) 258
(94,3) (93,3) 391
(94,3) (95,3) 119
(95,3) (94,3) 361
(95,3) (96,3) 392
(96,3) (95,3) 52
(96,3) (97,3) 264
(97,3) (96,3) 222
(97,3) (98,3) 156
(98,3) (97,3) 273
(98,3) (99,3) 100
(99,3) (98,3) 239
(99,3) (100,3) 102
(100,3) (99,3) 254
(100,3) (101,3) 380
(101,3) (100,3) 337
(101,3) (102,3) 203
(102,3) (101,3) 51
(102,3) (103,3) 388
(103,3) (102,3) 151
(103,3) (104,3) 267
(104,3) (103,3) 385
(104,3) (105,3) 271
(105,3) (104,3) 137
(105,3) (106,3) 24
(106,3) (105,3) 41
(106,3) (107,3) 342
(107,3) (106,3) 100
(107,3) (108,3) 129
(108,3) (107,3) 281
(108,3) (109,3) 279
(109,3) (108,3) 398
(109,3) (110,3) 380
(110,3) (109,3) 95
(110,3) (111,3) 234
(111,3) (110,3) 340
(111,3) (112,3) 162
(112,3) (111,3) 235
(112,3) (113,3) 335
(113,3) (112,3) 322
(113,3) (114,3) 163
(114,3) (113,3) 341
(114,3) (115,3) 291
(115,3) (114,3) 237
(115,3) (116,3) 331
(116,3) (115,3) 376
(116,3) (117,3) 258
(117,3) (116,3) 65
(117,3) (118,3) 301
(118,3) (117,3) 298
(118,3) (119,3) 54
(119,3) (118,3) 355
(119,3) (120,3) 347
(120,3) (119,3) 264
(120,3) (121,3) 13
(121,3) (120,3) 18
(121,3) (122,3) 328
(122,3) (121,3) 211
(122,3) (123,3) 233
(123,3) (122,3) 30
(123,3) (124,3) 372
(124,3) (123,3) 81
(124,3) (125,3) 336
(125,3) (124,3) 117
(125,3) (126,3) 119
(126,3) (125,3) 82
(126,3) (127,3) 4
(127,3) (126,3) 102
(127,3) (128,3) 345
(128,3) (127,3) 144
(128,3) (129,3) 317
(129,3) (128,3) 244
(129,3) (130,3) 269
(130,3) (129,3) 129
(130,3) (131,3) 130
(131,3) (130,3) 121
(131,3) (132,3) 398
(132,3) (131,3) 13
(132,3) (133,3) 343
(133,3) (132,3) 52
(133,3) (134,3) 34
(134,3) (133,3) 246
(134,3) (135,3) 224
(135,3) (134,3) 208
(135,3) (136,3) 11
(136,3) (135,3) 184
(136,3) (137,3) 260
(137,3) (136,3) 99
(137,3) (138,3) 12
(138,3) (137,3) 175
(138,3) (139,3) 61
(139,3) (138,3) 112
(139,3) (140,3) 25
(140,3) (139,3) 303
(140,3) (141,3) 155
(141,3) (140,3) 57
(141,3) (142,3) 263
(142,3) (141,3) 197
(142,3) (143,3) 72
(143,3) (142,3) 68
(143,3) (144,3) 130
(144,3) (143,3) 24
(144,3) (145,3) 102
(145,3) (144,3) 184
(145,3) (146,3) 93
(146,3) (145,3) 298
(146,3) (147,3) 293
(147,3) (146,3) 85
(147,3) (148,3) 228
(148,3) (147,3) 193
(148,3) (149,3) 225
(149,3) (148,3) 158
(149,3) (150,3) 382
(150,3) (149,3) 268
(150,3) (151,3) 295
(151,3) (150,3) 116
(151,3) (152,3) 191
(152,3) (151,3) 164
(152,3) (153,3) 264
(153,3) (152,3) 160
(153,3) (154,3) 105
(154,3) (153,3) 50
(154,3) (155,3) 279
(155,3) (154,3) 172
(155,3) (156,3) 82
(156,3) (155,3) 359
(156,3) (157,3) 204
(157,3) (156,3) 254
(157,3) (158,3) 192
(158,3) (157,3) 315
(158,3) (159,3) 43
(159,3) (158,3) 82
(159,3) (160,3) 273
(160,3) (159,3) 197
(1,4) (2,4) 127
(2,4) (1,4) 67
(2,4) (3,4) 56
(3,4) (2,4) 180
(3,4) (4,4) 287
(4,4) (3,4) 118
(4,4) (5,4) 321
(5,4) (4,4) 184
(5,4) (6,4) 322
(6,4) (5,4) 20
(6,4) (7,4) 390
(7,4) (6,4) 64
(7,4) (8,4) 63
(8,4) (7,4) 50
(8,4) (9,4) 378
(9,4) (8,4) 113
(9,4) (10,4) 318
(10,4) (9,4) 302
(10,4) (11,4) 354
(11,4) (10,4) 47
(11,4) (12,4) 346
(12,4) (11,4) 23
(12,4) (13,4) 340
(13,4) (12,4) 75
(13,4) (14,4) 215
(14,4) (13,4) 73
(14,4) (15,4) 23
(15,4) (14,4) 265
(15,4) (16,4) 16
(16,4) (15,4) 308
(16,4) (17,4) 266
(17,4) (16,4) 173
(17,4) (18,4) 314
(18,4) (17,4) 249
(18,4) (19,4) 321
(19,4) (18,4) 82
(19,4) (20,4) 181
(20,4) (19,4) 337
(20,4) (21,4) 217
(21,4) (20,4) 198
(21,4) (22,4) 320
(22,4) (21,4) 361
(22,4) (23,4) 397
(23,4) (22,4) 293
(23,4) (24,4) 123
(24,4) (23,4) 221
(24,4) (25,4) 337
(25,4) (24,4) 369
(25,4) (26,4) 56
(26,4) (25,4) 256
(26,4) (27,4) 27
(27,4) (26,4) 203
(27,4) (28,4) 59
(28,4) (27,4) 85
(28,4) (29,4) 66
(29,4) (28,4) 65
(29,4) (30,4) 257
(30,4) (29,4) 206
(30,4) (31,4) 47
(31,4) (30,4) 307
(31,4) (32,4) 108
(32,4) (31,4) 350
(32,4) (33,4) 192
(33,4) (32,4) 259
(33,4) (34,4) 316
(34,4) (33,4) 109
(34,4) (35,4) 235
(35,4) (34,4) 377
(35,4) (36,4) 42
(36,4) (35,4) 360
(36,4) (37,4) 192
(37,4) (36,4) 144
(37,4) (38,4) 270
(38,4) (37,4) 226
(38,4) (39,4) 279
(39,4) (38,4) 193
(39,4) (40,4) 320
(40,4) (39,4) 123
(40,4) (41,4) 360
(41,4) (40,4) 25
(41,4) (42,4) 299
(42,4) (41,4) 170
(42,4) (43,4) 297
(43,4) (42,4) 218
(43,4) (44,4) 29
(44,4) (43,4) 202
(44,4) (45,4) 82
(45,4) (44,4) 43
(45,4) (46,4) 220
(46,4) (45,4) 63
(46,4) (47,4) 220
(47,4) (46,4) 349
(47,4) (48,4) 227
(48,4) (47,4) 36
(48,4) (49,4) 392
(49,4) (48,4) 363
(49,4) (50,4) 249
(50,4) (49,4) 115
(50,4) (51,4) 397
(51,4) (50,4) 268
(51,4) (52,4) 115
(52,4) (51,4) 160
(52,4) (53,4) 25
(53,4) (52,4) 41
(53,4) (54,4) 335
(54,4) (53,4) 34
(54,4) (55,4) 264
(55,4) (54,4) 181
(55,4) (56,4) 193
(56,4) (55,4) 254
(56,4) (57,4) 51
(57,4) (56,4) 286
(57,4) (58,4) 379
(58,4) (57,4) 113
(58,4) (59,4) 335
(59,4) (58,4) 223
(59,4) (60,4) 293
(60,4) (59,4) 234
(60,4) (61,4) 374
(61,4) (60,4) 63
(61,4) (62,4) 221
(62,4) (61,4) 275
(62,4) (63,4) 99
(63,4) (62,4) 202
(63,4) (64,4) 264
(64,4) (63,4) 186
(64,4) (65,4) 327
(65,4) (64,4) 41
(65,4) (66,4) 22
(66,4) (65,4) 400
(66,4) (67,4) 40
(67,4) (66,4) 208
(67,4) (68,4) 67
(68,4) (67,4) 28
(68,4) (69,4) 361
(69,4) (68,4) 21
(69,4) (70,4) 89
(70,4) (69,4) 189
(70,4) (71,4) 21
(71,4) (70,4) 328
(71,4) (72,4) 147
(72,4) (71,4) 75
(72,4) (73,4) 357
(73,4) (72,4) 195
(73,4) (74,4) 45
(74,4) (73,4) 313
(74,4) (75,4) 113
(75,4) (74,4) 239
(75,4) (76,4) 167
(76,4) (75,4) 153
(76,4) (77,4) 163
(77,4) (76,4) 368
(77,4) (78,4) 360
(78,4) (77,4) 395
(78,4) (79,4) 375
(79,4) (78,4) 110
(79,4) (80,4) 15
(80,4) (79,4) 324
(80,4) (81,4) 382
(81,4) (80,4) 306
(81,4) (82,4) 53
(82,4) (81,4) 135
(82,4) (83,4) 162
(83,4) (82,4) 41
(83,4) (84,4) 255
(84,4) (83,4) 34
(84,4) (85,4) 196
(85,4) (84,4) 296
(85,4) (86,4) 15
(86,4) (85,4) 168
(86,4) (87,4) 257
(87,4) (86,4) 140
(87,4) (88,4) 201
(88,4) (87,4) 310
(88,4) (89,4) 83
(89,4) (88,4) 124
(89,4) (90,4) 291
(90,4) (89,4) 100
(90,4) (91,4) 36
(91,4) (90,4) 334
(91,4) (92,4) 166
(92,4) (91,4) 267
(92,4) (93,4) 109
(93,4) (92,4) 114
(93,4) (94,4) 306
(94,4) (93,4) 301
(94,4) (95,4) 44
(95,4) (94,4) 255
(95,4) (96,4) 61
(96,4) (95,4) 389
(96,4) (97,4) 36
(97,4) (96,4) 56
(97,4) (98,4) 107
(98,4) (97,4) 332
(98,4) (99,4) 62
(99,4) (98,4) 395
(99,4) (100,4) 314
(100,4) (99,4) 389
(100,4) (101,4) 398
(101,4) (100,4) 374
(101,4) (102,4) 357
(102,4) (101,4) 70
(102,4) (103,4) 176
(103,4) (102,4) 358
(103,4) (104,4) 264
(104,4) (103,4) 3
(104,4) (105,4) 193
(105,4) (104,4) 269
(105,4) (106,4) 243
(106,4) (105,4) 345
(106,4) (107,4) 26
(107,4) (106,4) 15
(107,4) (108,4) 343
(108,4) (107,4) 291
(108,4) (109,4) 311
(109,4) (108,4) 89
(109,4) (110,4) 237
(110,4) (109,4) 13
(110,4) (111,4) 198
(111,4) (110,4) 303
(111,4) (112,4) 358
(112,4) (111,4) 147
(112,4) (113,4) 27
(113,4) (112,4) 225
(113,4) (114,4) 253
(114,4) (113,4) 340
(114,4) (115,4) 129
(115,4) (114,4) 89
(115,4) (116,4) 281
(116,4) (115,4) 201
(116,4) (117,4) 154
(117,4) (116,4) 323
(117,4) (118,4) 222
(118,4) (117,4) 76
(118,4) (119,4) 39
(119,4) (118,4) 137
(119,4) (120,4) 259
(120,4) (119,4) 38
(120,4) (121,4) 307
(121,4) (120,4) 250
(121,4) (122,4) 207
(122,4) (121,4) 393
(122,4) (123,4) 137
(123,4) (122,4) 55
(123,4) (124,4) 125
(124,4) (123,4) 343
(124,4) (125,4) 199
(125,4) (124,4) 26
(125,4) (126,4) 350
(126,4) (125,4) 301
(126,4) (127,4) 42
(127,4) (126,4) 19
(127,4) (128,4) 61
(128,4) (127,4) 176
(128,4) (129,4) 104
(129,4) (128,4) 160
(129,4) (130,4) 221
(130,4) (129,4) 18
(130,4) (131,4) 237
(131,4) (130,4) 56
(131,4) (132,4) 31
(132,4) (131,4) 257
(132,4) (133,4) 109
(133,4) (132,4) 244
(133,4) (134,4) 48
(134,4) (133,4) 189
(134,4) (135,4) 249
(135,4) (134,4) 330
(135,4) (136,4) 95
(136,4) (135,4) 67
(136,4) (137,4) 220
(137,4) (136,4) 24
(137,4) (138,4) 253
(138,4) (137,4) 154
(138,4) (139,4) 69
(139,4) (138,4) 281
(139,4) (140,4) 172
(140,4) (139,4) 297
(140,4) (141,4) 31
(141,4) (140,4) 151
(141,4) (142,4) 234
(142,4) (141,4) 260
(142,4) (143,4) 363
(143,4) (142,4) 382
(143,4) (144,4) 103
(144,4) (143,4) 273
(144,4) (145,4) 351
(145,4) (144,4) 265
(145,4) (146,4) 369
(146,4) (145,4) 43
(146,4) (147,4) 88
(147,4) (146,4) 27
(147,4) (148,4) 337
(148,4) (147,4) 18
(148,4) (149,4) 123
(149,4) (148,4) 139
(149,4) (150,4) 286
(150,4) (149,4) 29
(150,4) (151,4) 218
(151,4) (150,4) 157
(151,4) (152,4) 256
(152,4) (151,4) 30
(152,4) (153,4) 274
(153,4) (152,4) 153
(153,4) (154,4) 191
(154,4) (153,4) 80
(154,4) (155,4) 112
(155,4) (154,4) 91
(155,4) (156,4) 346
(156,4) (155,4) 207
(156,4) (157,4) 116
(157,4) (156,4) 374
(157,4) (158,4) 195
(158,4) (157,4) 131
(158,4) (159,4) 93
(159,4) (158,4) 101
(159,4) (160,4) 151
(160,4) (159,4) 187
(1,5) (2,5) 340
(2,5) (1,5) 16
(2,5) (3,5) 331
(3,5) (2,5) 162
(3,5) (4,5) 213
(4,5) (3,5) 279
(4,5) (5,5) 162
(5,5) (4,5) 257
(5,5) (6,5) 72
(6,5) (5,5) 94
(6,5) (7,5) 284
(7,5) (6,5) 353
(7,5) (8,5) 142
(8,5) (7,5) 309
(8,5) (9,5) 329
(9,5) (8,5) 362
(9,5) (10,5) 263
(10,5) (9,5) 195
(10,5) (11,5) 75
(11,5) (10,5) 93
(11,5) (12,5) 192
(12,5) (11,5) 191
(12,5) (13,5) 24
(13,5) (12,5) 27
(13,5) (14,5) 345
(14,5) (13,5) 362
(14,5) (15,5) 126
(15,5) (14,5) 128
(15,5) (16,5) 293
(16,5) (15,5) 348
(16,5) (17,5) 18
(17,5) (16,5) 400
(17,5) (18,5) 251
(18,5) (17,5) 393
(18,5) (19,5) 369
(19,5) (18,5) 124
(19,5) (20,5) 121
(20,5) (19,5) 128
(20,5) (21,5) 215
(21,5) (20,5) 48
(21,5) (22,5) 216
(22,5) (21,5) 400
(22,5) (23,5) 334
(23,5) (22,5) 380
(23,5) (24,5) 266
(24,5) (23,5) 327
(24,5) (25,5) 110
(25,5) (24,5) 125
(25,5) (26,5) 16
(26,5) (25,5) 377
(26,5) (27,5) 35
(27,5) (26,5) 376
(27,5) (28,5) 56
(28,5) (27,5) 217
(28,5) (29,5) 108
(29,5) (28,5) 322
(29,5) (30,5) 164
(30,5) (29,5) 167
(30,5) (31,5) 352
(31,5) (30,5) 319
(31,5) (32,5) 342
(32,5) (31,5) 182
(32,5) (33,5) 299
(33,5) (32,5) 213
(33,5) (34,5) 135
(34,5) (33,5) 105
(34,5) (35,5) 358
(35,5) (34,5) 44
(35,5) (36,5) 263
(36,5) (35,5) 361
(36,5) (37,5) 244
(37,5) (36,5) 116
(37,5) (38,5) 366
(38,5) (37,5) 85
(38,5) (39,5) 184
(39,5) (38,5) 99
(39,5) (40,5) 385
(40,5) (39,5) 327
(40,5) (41,5) 36
(41,5) (40,5) 217
(41,5) (42,5) 240
(42,5) (41,5) 303
(42,5) (43,5) 301
(43,5) (42,5) 226
(43,5) (44,5) 189
(44,5) (43,5) 126
(44,5) (45,5) 250
(45,5) (44,5) 72
(45,5) (46,5) 231
(46,5) (45,5) 33
(46,5) (47,5) 123
(47,5) (46,5) 114
(47,5) (48,5) 308
(48,5) (47,5) 40
(48,5) (49,5) 327
(49,5) (48,5) 62
(49,5) (50,5) 125
(50,5) (49,5) 146
(50,5) (51,5) 237
(51,5) (50,5) 358
(51,5) (52,5) 227
(52,5) (51,5) 263
(52,5) (53,5) 28
(53,5) (52,5) 129
(53,5) (54,5) 271
(54,5) (53,5) 50
(54,5) (55,5) 62
(55,5) (54,5) 377
(55,5) (56,5) 39
(56,5) (55,5) 312
(56,5) (57,5) 351
(57,5) (56,5) 36
(57,5) (58,5) 221
(58,5) (57,5) 9
(58,5) (59,5) 59
(59,5) (58,5) 353
(59,5) (60,5) 129
(60,5) (59,5) 2
(60,5) (61,5) 134
(61,5) (60,5) 241
(61,5) (62,5) 279
(62,5) (61,5) 141
(62,5) (63,5) 197
(63,5) (62,5) 400
(63,5) (64,5) 307
(64,5) (63,5) 86
(64,5) (65,5) 41
(65,5) (64,5) 286
(65,5) (66,5) 1
(66,5) (65,5) 122
(66,5) (67,5) 140
(67,5) (66,5) 111
(67,5) (68,5) 321
(68,5) (67,5) 206
(68,5) (69,5) 228
(69,5) (68,5) 139
(69,5) (70,5) 383
(70,5) (69,5) 297
(70,5) (71,5) 132
(71,5) (70,5) 194
(71,5) (72,5) 17
(72,5) (71,5) 351
(72,5) (73,5) 98
(73,5) (72,5) 240
(73,5) (74,5) 345
(74,5) (73,5) 124
(74,5) (75,5) 275
(75,5) (74,5) 137
(75,5) (76,5) 378
(76,5) (75,5) 153
(76,5) (77,5) 178
(77,5) (76,5) 113
(77,5) (78,5) 24
(78,5) (77,5) 157
(78,5) (79,5) 256
(79,5) (78,5) 90
(79,5) (80,5) 248
(80,5) (79,5) 147
(80,5) (81,5) 374
(81,5) (80,5) 43
(81,5) (82,5) 6
(82,5) (81,5) 148
(82,5) (83,5) 166
(83,5) (82,5) 234
(83,5) (84,5) 214
(84,5) (83,5) 305
(84,5) (85,5) 223
(85,5) (84,5) 38
(85,5) (86,5) 18
(86,5) (85,5) 32
(86,5) (87,5) 62
(87,5) (86,5) 147
(87,5) (88,5) 130
(88,5) (87,5) 160
(88,5) (89,5) 97
(89,5) (88,5) 130
(89,5) (90,5) 73
(90,5) (89,5) 90
(90,5) (91,5) 328
(91,5) (90,5) 44
(91,5) (92,5) 188
(92,5) (91,5) 118
(92,5) (93,5) 37
(93,5) (92,5) 300
(93,5) (94,5) 46
(94,5) (93,5) 7
(94,5) (95,5) 18
(95,5) (94,5) 166
(95,5) (96,5) 390
(96,5) (95,5) 84
(96,5) (97,5) 257
(97,5) (96,5) 168
(97,5) (98,5) 354
(98,5) (97,5) 212
(98,5) (99,5) 126
(99,5) (98,5) 43
(99,5) (100,5) 181
(100,5) (99,5) 85
(100,5) (101,5) 305
(101,5) (100,5) 390
(101,5) (102,5) 187
(102,5) (101,5) 330
(102,5) (103,5) 304
(103,5) (102,5) 303
(103,5) (104,5) 382
(104,5) (103,5) 174
(104,5) (105,5) 2
(105,5) (104,5) 30
(105,5) (106,5) 337
(106,5) (105,5) 313
(106,5) (107,5) 301
(107,5) (106,5) 209
(107,5) (108,5) 57
(108,5) (107,5) 158
(108,5) (109,5) 225
(109,5) (108,5) 246
(109,5) (110,5) 396
(110,5) (109,5) 94
(110,5) (111,5) 286
(111,5) (110,5) 184
(111,5) (112,5) 33
(112,5) (111,5) 285
(112,5) (113,5) 191
(113,5) (112,5) 264
(113,5) (114,5) 151
(114,5) (113,5) 126
(114,5) (115,5) 346
(115,5) (114,5) 199
(115,5) (116,5) 50
(116,5) (115,5) 110
(116,5) (117,5) 223
(117,5) (116,5) 46
(117,5) (118,5) 304
(118,5) (117,5) 106
(118,5) (119,5) 302
(119,5) (118,5) 251
(119,5) (120,5) 361
(120,5) (119,5) 318
(120,5) (121,5) 70
(121,5) (120,5) 24
(121,5) (122,5) 293
(122,5) (121,5) 380
(122,5) (123,5) 24
(123,5) (122,5) 281
(123,5) (124,5) 247
(124,5) (123,5) 325
(124,5) (125,5) 138
(125,5) (124,5) 210
(125,5) (126,5) 215
(126,5) (125,5) 214
(126,5) (127,5) 135
(127,5) (126,5) 227
(127,5) (128,5) 270
(128,5) (127,5) 193
(128,5) (129,5) 291
(129,5) (128,5) 17
(129,5) (130,5) 58
(130,5) (129,5) 327
(130,5) (131,5) 141
(131,5) (130,5) 18
(131,5) (132,5) 353
(132,5) (131,5) 16
(132,5) (133,5) 157
(133,5) (132,5) 180
(133,5) (134,5) 147
(134,5) (133,5) 343
(134,5) (135,5) 221
(135,5) (134,5) 74
(135,5) (136,5) 88
(136,5) (135,5) 356
(136,5) (137,5) 243
(137,5) (136,5) 308
(137,5) (138,5) 40
(138,5) (137,5) 375
(138,5) (139,5) 236
(139,5) (138,5) 106
(139,5) (140,5) 9
(140,5) (139,5) 78
(140,5) (141,5) 309
(141,5) (140,5) 6
(141,5) (142,5) 275
(142,5) (141,5) 51
(142,5) (143,5) 83
(143,5) (142,5) 123
(143,5) (144,5) 320
(144,5) (143,5) 21
(144,5) (145,5) 386
(145,5) (144,5) 165
(145,5) (146,5) 303
(146,5) (145,5) 65
(146,5) (147,5) 27
(147,5) (146,5) 206
(147,5) (148,5) 327
(148,5) (147,5) 126
(148,5) (149,5) 222
(149,5) (148,5) 298
(149,5) (150,5) 216
(150,5) (149,5) 194
(150,5) (151,5) 319
(151,5) (150,5) 288
(151,5) (152,5) 110
(152,5) (151,5) 3
(152,5) (153,5) 285
(153,5) (152,5) 390
(153,5) (154,5) 303
(154,5) (153,5) 334
(154,5) (155,5) 237
(155,5) (154,5) 376
(155,5) (156,5) 292
(156,5) (155,5) 222
(156,5) (157,5) 341
(157,5) (156,5) 100
(157,5) (158,5) 292
(158,5) (157,5) 73
(158,5) (159,5) 21
(159,5) (158,5) 293
(159,5) (160,5) 123
(160,5) (159,5) 237
(1,6) (2,6) 400
(2,6) (1,6) 57
(2,6) (3,6) 249
(3,6) (2,6) 306
(3,6) (4,6) 231
(4,6) (3,6) 145
(4,6) (5,6) 279
(5,6) (4,6) 44
(5,6) (6,6) 343
(6,6) (5,6) 182
(6,6) (7,6) 69
(7,6) (6,6) 384
(7,6) (8,6) 185
(8,6) (7,6) 114
(8,6) (9,6) 31
(9,6) (8,6) 272
(9,6) (10,6) 151
(10,6) (9,6) 354
(10,6) (11,6) 270
(11,6) (10,6) 309
(11,6) (12,6) 223
(12,6) (11,6) 134
(12,6) (13,6) 234
(13,6) (12,6) 216
(13,6) (14,6) 288
(14,6) (13,6) 81
(14,6) (15,6) 397
(15,6) (14,6) 205
(15,6) (16,6) 400
(16,6) (15,6) 292
(16,6) (17,6) 227
(17,6) (16,6) 236
(17,6) (18,6) 384
(18,6) (17,6) 66
(18,6) (19,6) 62
(19,6) (18,6) 253
(19,6) (20,6) 343
(20,6) (19,6) 287
(20,6) (21,6) 37
(21,6) (20,6) 207
(21,6) (22,6) 395
(22,6) (21,6) 346
(22,6) (23,6) 236
(23,6) (22,6) 262
(23,6) (24,6) 95
(24,6) (23,6) 324
(24,6) (25,6) 80
(25,6) (24,6) 303
(25,6) (26,6) 246
(26,6) (25,6) 75
(26,6) (27,6) 153
(27,6) (26,6) 49
(27,6) (28,6) 6
(28,6) (27,6) 344
(28,6) (29,6) 65
(29,6) (28,6) 257
(29,6) (30,6) 167
(30,6) (29,6) 354
(30,6) (31,6) 291
(31,6) (30,6) 1
(31,6) (32,6) 42
(32,6) (31,6) 156
(32,6) (33,6) 13
(33,6) (32,6) 87
(33,6) (34,6) 391
(34,6) (33,6) 274
(34,6) (35,6) 112
(35,6) (34,6) 198
(35,6) (36,6) 62
(36,6) (35,6) 267
(36,6) (37,6) 22
(37,6) (36,6) 347
(37,6) (38,6) 31
(38,6) (37,6) 139
(38,6) (39,6) 163
(39,6) (38,6) 6
(39,6) (40,6) 165
(40,6) (39,6) 360
(40,6) (41,6) 35
(41,6) (40,6) 99
(41,6) (42,6) 158
(42,6) (41,6) 7
(42,6) (43,6) 3
(43,6) (42,6) 84
(43,6) (44,6) 54
(44,6) (43,6) 83
(44,6) (45,6) 76
